text,intent
"¿En qué se diferencia el MacBook Air del MacBook Pro?","caracteristicas_producto"
"¿Podrías explicarme las funciones del smartwatch Fitbit?","caracteristicas_producto"
"¿Este televisor tiene compatibilidad con Dolby Atmos?","caracteristicas_producto"
"¿Qué beneficios tiene este monitor con panel IPS?","caracteristicas_producto"
"¿Cómo se compara este procesador con el Intel i9?","caracteristicas_producto"
"¿Qué laptop recomiendas para edición de video?","consulta_recomendaciones"
"¿Cuál es la mejor opción de smartphone en gama alta?","consulta_recomendaciones"
"¿Me puedes recomendar una tablet para dibujar?","consulta_recomendaciones"
"Busco un proyector para presentaciones, ¿alguna sugerencia?","consulta_recomendaciones"
"Quisiera una recomendación de auriculares para gaming","consulta_recomendaciones"
"¿Cuál es la mejor opción de monitor ultrawide?","consulta_recomendaciones"
"¿Me puedes ayudar a elegir un buen router para casa?","consulta_recomendaciones"
"Necesito una laptop para teletrabajo, ¿qué modelo sugieres?","consulta_recomendaciones"
"Busco un smartphone con buena batería, ¿qué me sugieres?","consulta_recomendaciones"
"¿Puedes recomendarme una PC de escritorio potente?","consulta_recomendaciones"
"Hola, ¿cómo estás?","saludo"
"Buenas noches","saludo"
"Hola, necesito ayuda","saludo"
"Hey, ¿puedes ayudarme?","saludo"
"Hola, ¿qué tal?","saludo"
"Saludos, ¿puedes darme información?","saludo"
"Hola, tengo una consulta","saludo"
"Buenos días, necesito asistencia","saludo"
"Hola, me gustaría conocer más sobre sus productos","saludo"
"Hola, ¿me podrías ayudar con algo?","saludo"
"Adiós, hasta la próxima","despedida"
"Nos vemos, gracias por tu ayuda","despedida"
"Chao, muchas gracias","despedida"
"Hasta luego, ha sido de gran ayuda","despedida"
"Me retiro, gracias por todo","despedida"
"Bueno, nos vemos después","despedida"
"Muchas gracias, hasta pronto","despedida"
"Gracias por la información, hasta luego","despedida"
"Nos vemos pronto, fue un placer","despedida"
"Hasta más tarde, cuídate","despedida"
"¿Cuáles son los celulares entre $300 y $500?", "consulta_precio"
"¿Tienen disponibles computadoras portátiles con 16GB de RAM?", "consulta_inventario"
"¿Este modelo de TV soporta 4K?", "caracteristicas_producto"
"¿Podrías recomendarme un teclado mecánico silencioso?", "consulta_recomendaciones"
"¿Qué laptop me recomiendas para arquitectura?", "consulta_recomendaciones"
"¿Hay descuentos en auriculares inalámbricos?", "consulta_precio"
"¿Cuáles son las diferencias entre el Galaxy S22 y S23?", "caracteristicas_producto"
"¿Qué mouse me recomiendas para jugar?", "consulta_recomendaciones"
"Hola, me gustaría saber más sobre sus promociones","saludo"
"¿Tienen routers Wi-Fi 6 disponibles?", "consulta_inventario"
"Quisiera una laptop con buena batería, ¿qué modelos tienen?", "consulta_recomendaciones"
"¿Cuál es el costo del Apple Pencil?", "consulta_precio"
"Necesito un cargador rápido, ¿qué opciones tienen?", "consulta_recomendaciones"
"¿Tienen consolas Xbox Series X en stock?", "consulta_inventario"
"Hola, ¿qué equipos tienen con procesador Ryzen 7?", "saludo"
"¿Este proyector es compatible con Chromecast?", "caracteristicas_producto"
"¿Cuánto cuesta la GoPro Hero 12?", "consulta_precio"
"¿Hay disponibilidad del iPad Mini?", "consulta_inventario"
"¿Qué ventajas tiene el disco SSD NVMe sobre un HDD?", "caracteristicas_producto"
"Me gustaría saber el precio de los AirPods Pro","consulta_precio"
"¿Podrías recomendarme una PC para edición de fotos?", "consulta_recomendaciones"
"Necesito una laptop para estudiar, ¿qué me recomiendas?", "consulta_recomendaciones"
"¿Cuánto vale el Samsung Galaxy Tab S9?", "consulta_precio"
"¿Tienen en existencia monitores con 144Hz?", "consulta_inventario"
"¿Qué beneficios tiene este smartwatch comparado con otros?", "caracteristicas_producto"
"Hola, ¿qué laptops tienen con pantalla táctil?", "saludo"
"Gracias, hasta la próxima","despedida"
"Nos vemos luego, gracias por la ayuda","despedida"
"¿Pueden sugerirme una impresora eficiente para casa?", "consulta_recomendaciones"
"¿Qué dispositivos tienen en oferta hoy?", "consulta_precio"
"¿Tienen cámaras de seguridad con visión nocturna?", "consulta_inventario"
"¿Me pueden recomendar un smartphone con buena cámara?", "consulta_recomendaciones"
"¿Cuál es la diferencia entre este modelo de celular y el anterior?", "caracteristicas_producto"
"¿Qué monitores recomiendan para diseño gráfico?", "consulta_recomendaciones"
"Quiero comprar una laptop para programar, ¿cuál es la mejor opción?", "consulta_recomendaciones"
"¿Cuántos equipos Prueba 1 hay?", consulta_inventario
"¿Aceptan pagos en cuotas para la MacBook?","consulta_precio"
"¿Cuál sería el total con envío incluido?","consulta_precio"
"¿Tienen algún descuento por pago en efectivo?","consulta_precio"
"¿El precio incluye IVA?","consulta_precio"
"¿Cuánto costaría con la garantía extendida?","consulta_precio"
"¿Hay alguna promoción vigente para tablets?","consulta_precio"
"¿Cuál es el precio final con todos los accesorios?","consulta_precio"
"¿Tienen plan de financiamiento para este equipo?","consulta_precio"
"¿Cuál es el precio al mayoreo?","consulta_precio"
"¿Aplican descuentos para estudiantes?","consulta_precio"
"¿En qué sucursal puedo encontrar este modelo?","consulta_inventario"
"¿Para cuándo esperan recibir más unidades?","consulta_inventario"
"¿Este producto está disponible para envío inmediato?","consulta_inventario"
"¿Tienen el modelo en color negro?","consulta_inventario"
"¿Cuándo llega el próximo lote?","consulta_inventario"
"¿Está disponible para recoger en tienda?","consulta_inventario"
"¿Tienen el mismo producto pero en otra capacidad?","consulta_inventario"
"¿Este artículo está descontinuado?","consulta_inventario"
"¿Puedo apartar una unidad?","consulta_inventario"
"¿Tienen disponibilidad en todas las sucursales?","consulta_inventario"
"¿Este modelo es compatible con Windows 11?","caracteristicas_producto"
"¿Qué tipo de puerto de carga utiliza?","caracteristicas_producto"
"¿La batería es removible?","caracteristicas_producto"
"¿Viene con cargador incluido?","caracteristicas_producto"
"¿Qué versión de Bluetooth soporta?","caracteristicas_producto"
"¿Es resistente al agua?","caracteristicas_producto"
"¿Cuánto pesa el dispositivo?","caracteristicas_producto"
"¿Qué resolución tiene la pantalla?","caracteristicas_producto"
"¿Incluye garantía del fabricante?","caracteristicas_producto"
"¿Qué sistema operativo trae preinstalado?","caracteristicas_producto"
"¿Qué modelo es mejor para videoconferencias?","consulta_recomendaciones"
"Busco algo resistente para mi hijo adolescente","consulta_recomendaciones"
"¿Cuál es la mejor opción calidad-precio?","consulta_recomendaciones"
"¿Qué marca es más confiable?","consulta_recomendaciones"
"¿Cuál modelo consume menos energía?","consulta_recomendaciones"
"¿Qué equipo es más fácil de configurar?","consulta_recomendaciones"
"¿Cuál es más adecuado para un principiante?","consulta_recomendaciones"
"¿Qué modelo tiene mejor soporte técnico?","consulta_recomendaciones"
"¿Cuál es más duradero a largo plazo?","consulta_recomendaciones"
"¿Qué opción es más actualizable a futuro?","consulta_recomendaciones"
"Buen día, ¿me pueden ayudar?","saludo"
"Hola, escribo por una consulta","saludo"
"¿Hay alguien disponible para atenderme?","saludo"
"Buenas, quisiera información","saludo"
"Hola, espero puedan orientarme","saludo"
"¿Me pueden asistir con una duda?","saludo"
"Saludos, necesito ayuda con un producto","saludo"
"Hola, primera vez que los contacto","saludo"
"Buenos días, ¿están atendiendo?","saludo"
"Hola, ¿puedo hacer una consulta rápida?","saludo"
"Gracias por su tiempo","despedida"
"Me despido, excelente servicio","despedida"
"Eso sería todo, gracias","despedida"
"Les agradezco la atención","despedida"
"Hasta pronto, muy amables","despedida"
"Me fue de mucha ayuda, adiós","despedida"
"Gracias por la información brindada","despedida"
"Me retiro satisfecho, gracias","despedida"
"Que tengan buen día, adiós","despedida"
"Gracias por su paciencia, hasta luego","despedida"
"¿Qué tipo de laptops tienen disponibles?","consulta_categoria"
"¿Cuáles son las mejores opciones en tablets?","consulta_categoria"
"¿Tienen cámaras profesionales en stock?","consulta_categoria"
"¿Qué tipo de audífonos ofrecen?","consulta_categoria"
"¿Me pueden mostrar los monitores disponibles?","consulta_categoria"
"¿Cuáles son las mejores opciones en impresoras?","consulta_categoria"
"¿Qué tipo de routers manejan?","consulta_categoria"
"¿Tienen televisores de diferentes tamaños?","consulta_categoria"
"¿Podrían mostrarme las consolas de videojuegos?","consulta_categoria"
"¿Qué opciones de almacenamiento externo tienen?","consulta_categoria"
"¿Pueden listar los celulares que venden?","consulta_categoria"
"¿Qué categorías de productos manejan?","consulta_categoria"
"¿Cuáles son las mejores opciones de parlantes?","consulta_categoria"
"¿Tienen productos para el hogar inteligente?","consulta_categoria"
"¿Venden equipos de sonido?","consulta_categoria"
"¿Manejan productos para oficina?","consulta_categoria"
"¿Qué tipo de relojes inteligentes tienen?","consulta_categoria"
"¿Pueden mostrarme los accesorios para PC?","consulta_categoria"
"¿Cuáles son las opciones en proyectores?","consulta_categoria"
"¿Tienen dispositivos para streaming?","consulta_categoria"
"¿Qué variedad de teclados mecánicos ofrecen?","consulta_categoria"
"¿Pueden mostrarme las laptops más vendidas?","consulta_categoria"
"¿Qué opciones tienen en mouse gaming?","consulta_categoria"
"¿Tienen discos SSD y HDD?","consulta_categoria"
"¿Qué modelos de drones venden?","consulta_categoria"
"¿Tienen laptops Dell en stock?","consulta_marca"
"¿Qué opciones tienen en celulares Samsung?","consulta_marca"
"¿Tienen routers de la marca TP-Link?","consulta_marca"
"¿Pueden mostrarme los iPads de Apple?","consulta_marca"
"¿Qué modelos de audífonos Bose tienen?","consulta_marca"
"¿Tienen impresoras HP disponibles?","consulta_marca"
"¿Qué televisores Sony manejan?","consulta_marca"
"¿Cuáles son las opciones en laptops Lenovo?","consulta_marca"
"¿Tienen en inventario productos Logitech?","consulta_marca"
"¿Qué opciones hay en monitores ASUS?","consulta_marca"
"¿Venden cámaras Canon?","consulta_marca"
"¿Qué dispositivos de Xiaomi tienen?","consulta_marca"
"¿Pueden mostrarme los discos duros Seagate?","consulta_marca"
"¿Qué modelos de smartwatch Garmin tienen?","consulta_marca"
"¿Tienen teclados mecánicos Corsair?","consulta_marca"
"¿Qué opciones hay en micrófonos Blue Yeti?","consulta_marca"
"¿Qué celulares Motorola están en venta?","consulta_marca"
"¿Tienen tablets Microsoft Surface?","consulta_marca"
"¿Pueden mostrarme los parlantes JBL?","consulta_marca"
"¿Qué opciones de PC de escritorio ASUS tienen?","consulta_marca"
"¿Venden cámaras Nikon?","consulta_marca"
"¿Qué laptops HP están en oferta?","consulta_marca"
"¿Tienen en stock consolas Xbox?","consulta_marca"
"¿Pueden mostrarme los auriculares Sony?","consulta_marca"
"¿Qué opciones de monitores LG tienen?","consulta_marca"
"Quiero una laptop Dell que sea buena para gaming","consulta_mixta"
"Busco un televisor Samsung con resolución 4K","consulta_mixta"
"Necesito una impresora HP que sea económica","consulta_mixta"
"Quiero un celular Xiaomi con buena batería","consulta_mixta"
"¿Tienen en stock un router TP-Link con Wi-Fi 6?","consulta_mixta"
"¿Pueden recomendarme una laptop Lenovo para edición de video?","consulta_mixta"
"Busco un smartwatch Garmin que sea resistente al agua","consulta_mixta"
"¿Qué audífonos Sony tienen con cancelación de ruido?","consulta_mixta"
"Quisiera saber si hay cámaras Canon con zoom óptico potente","consulta_mixta"
"¿Tienen tablets Apple con pantalla grande?","consulta_mixta"
"¿Pueden sugerirme una laptop HP con buen rendimiento?","consulta_mixta"
"Necesito un teclado mecánico Logitech silencioso","consulta_mixta"
"¿Qué opciones hay en monitores LG con 144Hz?","consulta_mixta"
"Busco un mouse Razer que tenga botones programables","consulta_mixta"
"¿Tienen en stock proyectores Epson para oficina?","consulta_mixta"
"Quiero un celular Samsung con buena cámara y almacenamiento","consulta_mixta"
"¿Qué disco duro Seagate es mejor para almacenamiento masivo?","consulta_mixta"
"¿Tienen algún parlante JBL con Bluetooth y buena autonomía?","consulta_mixta"
"Busco una impresora Epson que sea multifuncional","consulta_mixta"
"¿Qué PC de escritorio ASUS recomiendan para trabajo de diseño?","consulta_mixta"
"Necesito una consola Xbox con gran capacidad de almacenamiento","consulta_mixta"
"¿Qué monitores ASUS son buenos para programar?","consulta_mixta"
"Quiero comprar un televisor LG con tecnología OLED","consulta_mixta"
"¿Tienen en stock auriculares Bose con sonido envolvente?","consulta_mixta"
"Busco un micrófono Blue Yeti para hacer streaming","consulta_mixta"
"Quiero comprar una laptop para gaming y un mouse ergonómico","consulta_multiproducto"
"Necesito una tablet para dibujar y un teclado inalámbrico","consulta_multiproducto"
"Quiero un celular y una funda protectora","consulta_multiproducto"
"¿Tienen un combo de laptop y monitor externo?","consulta_multiproducto"
"Busco una PC de escritorio y un mouse gaming","consulta_multiproducto"
"¿Qué ofertas tienen en smartphones y audífonos?","consulta_multiproducto"
"Necesito un router y un extensor de señal","consulta_multiproducto"
"Quisiera comprar una impresora y cartuchos de tinta","consulta_multiproducto"
"¿Tienen combos de TV con sistema de sonido?","consulta_multiproducto"
"Quiero un proyector y una pantalla para presentaciones","consulta_multiproducto"
"Necesito una cámara profesional y un trípode","consulta_multiproducto"
"Busco un smartwatch y unos auriculares compatibles","consulta_multiproducto"
"Quiero una tablet y un stylus para tomar notas","consulta_multiproducto"
"¿Tienen kits de teclado y mouse inalámbricos?","consulta_multiproducto"
"Quiero una laptop gamer y un soporte para refrigeración","consulta_multiproducto"
"Necesito una tarjeta gráfica y una fuente de poder","consulta_multiproducto"
"Quisiera comprar una memoria RAM y un disco SSD","consulta_multiproducto"
"¿Tienen paquetes de PC con monitor y teclado?","consulta_multiproducto"
"Busco un celular con cargador y audífonos incluidos","consulta_multiproducto"
"Quiero un control de Xbox y una base de carga","consulta_multiproducto"
"Necesito un micrófono profesional y una interfaz de audio","consulta_multiproducto"
"¿Pueden venderme un teclado mecánico junto con un mouse?","consulta_multiproducto"
"Quisiera comprar una cámara de seguridad con su instalación","consulta_multiproducto"
"Busco una tableta gráfica y un software de diseño","consulta_multiproducto"
"¿Tienen paquetes con laptop y mochila incluida?","consulta_multiproducto"
"Quiero ver category 1", "consulta_categoria"
"Quiero ver category 2", "consulta_categoria"
"Quiero ver category 3", "consulta_categoria"
"Quiero ver category 4", "consulta_categoria"
"Quiero ver la categoría category 1", "consulta_categoria"
